1480828,02/03/2016,,0,0
1480799,02/02/2016,,0,0
1480829,02/02/2016,,9,0,5
1480771,02/01/2016,,0,0
1480800,02/01/2016,,9,6,6
1480773,01/31/2016,,8,9,9
1480728,01/31/2016,,0,0
1480772,01/31/2016,,6,4,2
1480730,01/30/2016,,8,0,7
1480695,01/30/2016,,0,0
1480729,01/30/2016,,7,4,3
1480697,01/29/2016,,2,4,3
1480663,01/29/2016,,0,0
1480696,01/29/2016,,1,4,3
1480665,01/28/2016,,6,4,9
1480622,01/28/2016,,0,0
1480664,01/28/2016,,7,5,4
1480624,01/27/2016,,7,4,8
1480592,01/27/2016,,0,0
1480623,01/27/2016,,0,0,3
1480594,01/26/2016,,1,2,0
1480562,01/26/2016,,0,0
1480593,01/26/2016,,2,6,7
1480564,01/25/2016,,9,7,0
1480536,01/25/2016,,0,0
1480563,01/25/2016,,2,9,2
1480538,01/24/2016,,4,8,2
1480493,01/24/2016,,0,0
1480537,01/24/2016,,9,6,1
1480495,01/23/2016,,2,1,7
1480460,01/23/2016,,0,0
1480494,01/23/2016,,4,2,5
1480462,01/22/2016,,0,6,1
1480429,01/22/2016,,0,0
1480461,01/22/2016,,6,3,4
1480431,01/21/2016,,5,7,5
1480380,01/21/2016,,0,0
1480430,01/21/2016,,6,5,0
1480382,01/20/2016,,3,1,9
1480357,01/20/2016,,0,0
1480381,01/20/2016,,2,2,8
1480359,01/19/2016,,6,7,6
1480327,01/19/2016,,0,0
1480358,01/19/2016,,2,6,2
1480329,01/18/2016,,4,1,7
1480297,01/18/2016,,0,0
1480328,01/18/2016,,8,3,6
1480299,01/17/2016,,8,2,6
1480236,01/17/2016,,0,0
1480298,01/17/2016,,3,6,5
1480238,01/16/2016,,2,7,1
1480214,01/16/2016,,0,0
1480237,01/16/2016,,5,3,7
1480216,01/15/2016,,5,5,4
1479587,01/15/2016,,0,0
1480215,01/15/2016,,9,5,3
1479589,01/14/2016,,9,8,7
1479557,01/14/2016,,0,0
1479588,01/14/2016,,8,0,6
1479554,01/13/2016,,0,0
1479559,01/13/2016,,6,8,5
1479531,01/13/2016,,0,0
1479558,01/13/2016,,6,3,6
1479533,01/12/2016,,5,1,9
1479508,01/12/2016,,0,0
1479532,01/12/2016,,3,1,2
1479510,01/11/2016,,2,7,6
1479482,01/11/2016,,0,0
1479509,01/11/2016,,6,3,4
1479479,01/10/2016,,0,0
1479484,01/10/2016,,6,6,7
1479460,01/10/2016,,0,0
1479450,01/10/2016,,0,0
1479346,01/10/2016,,0,0
1479483,01/10/2016,,9,6,1
1479348,01/09/2016,,1,4,3
1479320,01/09/2016,,0,0
1479347,01/09/2016,,3,9,3
1479322,01/08/2016,,5,2,4
1479295,01/08/2016,,0,0
1479321,01/08/2016,,8,2,4
1479297,01/07/2016,,1,0,5
1479261,01/07/2016,,0,0
1479296,01/07/2016,,6,4,8
1479263,01/06/2016,,0,8,7
1479238,01/06/2016,,0,0
1479262,01/06/2016,,9,9,9
1479240,01/05/2016,,6,3,6
1479213,01/05/2016,,0,0
1479239,01/05/2016,,9,8,3
1479215,01/04/2016,,0,8,9
1479192,01/04/2016,,0,0
1479214,01/04/2016,,7,2,6
1479194,01/03/2016,,2,2,1
1479157,01/03/2016,,0,0
1479193,01/03/2016,,0,4,8
1479159,01/02/2016,,7,8,4
1479131,01/02/2016,,0,0
1479158,01/02/2016,,5,5,7
1479133,01/01/2016,,1,5,8
1479105,01/01/2016,,0,0
1479132,01/01/2016,,9,9,3
1479107,12/31/2015,,5,6,8
1479071,12/31/2015,,0,0
1479106,12/31/2015,,2,7,4
1479073,12/30/2015,,5,7,1
1479048,12/30/2015,,0,0
1479072,12/30/2015,,6,0,9
1479050,12/29/2015,,6,9,8
1479024,12/29/2015,,0,0
1479049,12/29/2015,,7,9,9
1479026,12/28/2015,,3,2,7
1479002,12/28/2015,,0,0
1479025,12/28/2015,,5,8,4
1479004,12/27/2015,,6,6,8
1478966,12/27/2015,,0,0
1479003,12/27/2015,,0,0,8
1478968,12/26/2015,,1,5,6
1478941,12/26/2015,,0,0
1478967,12/26/2015,,6,1,8
1478943,12/25/2015,,5,6,4
1478915,12/25/2015,,0,0
1478942,12/25/2015,,8,3,2
1478917,12/24/2015,,9,8,0
1478881,12/24/2015,,0,0
1478916,12/24/2015,,8,2,8
1478883,12/23/2015,,2,1,2
1478858,12/23/2015,,0,0
1478882,12/23/2015,,0,0,0
1478860,12/22/2015,,9,5,7
1478829,12/22/2015,,0,0
1478859,12/22/2015,,4,2,3
1478831,12/21/2015,,3,9,9
1478801,12/21/2015,,0,0
1478830,12/21/2015,,0,2,4
1478803,12/20/2015,,8,8,2
1478755,12/20/2015,,0,0
1478802,12/20/2015,,4,8,7
1478757,12/19/2015,,6,9,3
1478726,12/19/2015,,0,0
1478756,12/19/2015,,6,0,6
1478728,12/18/2015,,8,7,4
1478694,12/18/2015,,0,0
1478727,12/18/2015,,1,5,9
1478696,12/17/2015,,3,9,8
1478653,12/17/2015,,0,0
1478695,12/17/2015,,7,8,7
1478655,12/16/2015,,5,8,0
1478623,12/16/2015,,0,0
1478654,12/16/2015,,8,9,2
1478625,12/15/2015,,5,1,2
1478593,12/15/2015,,0,0
1478624,12/15/2015,,0,5,3
1478595,12/14/2015,,2,3,8
1478566,12/14/2015,,0,0
1478594,12/14/2015,,3,1,5
1478568,12/13/2015,,5,3,6
1478523,12/13/2015,,0,0
1478567,12/13/2015,,4,7,6
1478525,12/12/2015,,7,9,4
1478490,12/12/2015,,0,0
1478524,12/12/2015,,5,9,4
1478492,12/11/2015,,8,9,5
1478458,12/11/2015,,0,0
1478491,12/11/2015,,8,1,9
1478460,12/10/2015,,7,6,6
1478417,12/10/2015,,0,0
1478459,12/10/2015,,3,9,0
1478419,12/09/2015,,0,4,4
1478386,12/09/2015,,0,0
1478418,12/09/2015,,6,1,9
1478388,12/08/2015,,2,3,5
1478354,12/08/2015,,0,0
1478387,12/08/2015,,4,9,4
1478356,12/07/2015,,7,7,8
1478328,12/07/2015,,0,0
1478355,12/07/2015,,8,7,8
1478330,12/06/2015,,2,9,0
1478283,12/06/2015,,0,0
1478329,12/06/2015,,9,7,6
1478285,12/05/2015,,3,3,6
1478250,12/05/2015,,0,0
1478284,12/05/2015,,3,1,0
1478252,12/04/2015,,5,6,5
1478218,12/04/2015,,0,0
1478251,12/04/2015,,0,3,3
1478220,12/03/2015,,9,2,8
1478177,12/03/2015,,0,0
1478219,12/03/2015,,2,3,4
1478179,12/02/2015,,8,8,3
1478146,12/02/2015,,0,0
1478178,12/02/2015,,5,1,2
1478148,12/01/2015,,2,2,7
1478115,12/01/2015,,0,0
1478147,12/01/2015,,1,7,1
1478117,11/30/2015,,0,6,7
1478085,11/30/2015,,0,0
1478116,11/30/2015,,2,9,9
1478087,11/29/2015,,2,4,9
1478040,11/29/2015,,0,0
1478086,11/29/2015,,7,3,1
1478042,11/28/2015,,9,7,4
1478008,11/28/2015,,0,0
1478041,11/28/2015,,1,9,4
1478010,11/27/2015,,3,5,3
1477975,11/27/2015,,0,0
1478009,11/27/2015,,9,1,8
1477977,11/26/2015,,3,8,0
1477933,11/26/2015,,0,0
