1458987,02/11/2015,,25,11,54,13,39,19,3
1458513,02/07/2015, $394,500,000,5,10,21,34,58,33
1458123,02/04/2015, $317,000,000,24,36,51,52,56,22
1457629,01/31/2015, $289,000,000,5,11,16,26,50,34
1457224,01/28/2015, $261,000,000,12,24,35,36,49,1
1456708,01/24/2015, $230,000,000,16,19,20,29,33,10
1456226,01/21/2015, $211,200,000,11,12,15,28,57,23
1455712,01/17/2015, $194,000,000,15,16,23,27,36,9
1455260,01/14/2015, $176,000,000,2,4,10,41,53,22
1454693,01/10/2015, $162,000,000,2,9,19,28,29,19
1454315,01/07/2015, $146,000,000,14,15,47,49,59,10
1453667,01/03/2015,,4,43,46,55,18,25,3
1453174,12/31/2014, $120,000,000,17,27,37,40,53,35
1452516,12/27/2014,,36,14,10,11,7,15,2
1452004,12/24/2014, $100,000,000,11,12,46,47,50,22
1451322,12/20/2014, $90,000,000,14,15,19,31,56,5
1450778,12/17/2014, $80,000,000,22,31,38,47,48,15
1450073,12/13/2014, $70,000,000,5,13,28,43,55,33
1449509,12/10/2014, $60,000,000,34,44,48,54,55,10
1448795,12/06/2014, $50,000,000,12,15,22,43,49,14
1448230,12/03/2014, $40,000,000,25,30,32,46,54,26
1447521,11/29/2014, $90,000,000,13,24,30,42,48,27
1446945,11/26/2014, $80,000,000,16,17,22,46,54,35
1446223,11/22/2014, $70,000,000,23,49,53,54,57,35
1445646,11/19/2014, $60,000,000,6,36,38,48,51,17
1444923,11/15/2014, $50,000,000,13,16,33,35,51,28
1444354,11/12/2014, $40,000,000,37,39,51,52,55,11
1443631,11/08/2014, $203,000,000,9,19,33,38,54,15
1443052,11/05/2014, $178,000,000,2,11,19,21,42,34
1442318,11/01/2014, $159,000,000,1,3,13,25,38,17
1441753,10/29/2014, $142,000,000,25,28,48,57,59,16
1441028,10/25/2014, $125,000,000,6,10,51,54,57,12
1440451,10/22/2014, $110,000,000,29,30,40,42,50,16
1439727,10/18/2014, $100,000,000,20,26,27,36,54,19
1439151,10/15/2014, $90,000,000,5,7,19,27,28,20
1438429,10/11/2014, $80,000,000,10,19,37,38,39,28
